Radio,Cell,Lon,Lat,Nearest_Distance,RSCP,Traffic,Ecno,Area coverage,Predict
2,16376,39.669743,-4.06271,0.15228699,-85,0,-10,0.15228699,0
3,645943,39.672318,-4.061508,0.152287197,-85,0,-10,0.152287197,0
3,196863290,39.656868,-4.061165,0.152287285,-85,0,-10,0.152287285,0
3,196838533,39.654465,-4.060822,0.152287345,-85,0,-10,0.152287345,0
2,8952,39.669571,-4.059677,0.152287581,-85,0,-10,0.152287581,0
3,174241,39.666367,-4.056015,0.152288262,-85,0,-10,0.152288262,0
3,196863339,39.659958,-4.052582,0.152288883,-85,0,-10,0.152288883,0
3,196855773,39.665451,-4.049835,0.152289446,-85,0,-10,0.152289446,0
3,196658584,39.5816803,-4.216690063,0.152289534,-85,0,-10,0.152289534,0
3,196858994,39.669571,-4.049149,0.152289534,-85,0,-10,0.152289534,0
3,33678623,39.663391,-4.047775,0.152289801,-85,0,-10,0.152289801,0
3,171408,39.667511,-4.046402,0.152290067,-85,0,-10,0.152290067,0
2,9022,39.667923,-4.044754,0.152290363,-85,0,-10,0.152290363,0
3,196855738,39.669571,-4.043381,0.152290659,-85,0,-10,0.152290659,0
2,183,39.630432,-4.041595,0.152290955,-85,0,-10,0.152290955,0
3,171413,39.654465,-4.038849,0.152291487,-85,0,-10,0.152291487,0
3,33672902,39.699097,-4.036789,0.152291872,-85,0,-10,0.152291872,0
3,137745542,34.36729431,4.204330444,0.152291961,-85,0,-10,0.152291961,0
3,19832023,39.686394,-4.035416,0.152292138,-85,0,-10,0.152292138,0
2,11286,39.666138,-4.033356,0.152292464,-85,0,-10,0.152292464,0
3,171541,39.71077,-4.030609,0.152292996,-85,0,-10,0.152292996,0
3,645235,39.71489,-4.029922,0.152293144,-85,0,-10,0.152293144,0
2,715,39.687424,-4.029236,0.152293292,-85,0,-10,0.152293292,0
3,196855673,39.627686,-4.027863,0.152293529,-85,0,-10,0.152293529,0
2,15216,39.58992004,-4.194717407,0.152293795,-85,0,-10,0.152293795,0
3,33677989,39.702072,-4.024429,0.15229421,-85,0,-10,0.15229421,0
3,33670282,39.705963,-4.024429,0.15229421,-85,0,-10,0.15229421,0
2,11075,39.631119,-4.01619,0.152295689,-85,0,-10,0.152295689,0
2,9645,39.580994,-4.00795,0.152297257,-85,0,-10,0.152297257,0
3,196638905,39.45121765,-4.176864624,0.152297287,-85,0,-10,0.152297287,0
3,196662366,39.35508728,-4.134292603,0.152305512,-85,0,-10,0.152305512,0
2,7113,39.35371399,-4.131546021,0.152306045,-85,0,-10,0.152306045,0
3,632980,39.63386536,-4.119186401,0.152308442,-85,0,-10,0.152308442,0
2,11703,39.74556,-3.943863,0.152309093,-85,0,-10,0.152309093,0
3,196788636,39.745102,-3.941345,0.152309596,-85,0,-10,0.152309596,0
3,19832133,39.74098206,-3.972244263,0.152310542,-85,0,-10,0.152310542,0
3,196657586,39.64073181,-4.102706909,0.152311607,-85,0,-10,0.152311607,0
3,196657435,39.64622498,-4.097213745,0.152312613,-85,0,-10,0.152312613,0
2,9215,39.65171814,-4.093093872,0.152313412,-85,0,-10,0.152313412,0
2,10364,39.65309143,-4.093093872,0.152313412,-85,0,-10,0.152313412,0
4,7915780,39.66270447,-4.093093872,0.152313412,-85,0,-10,0.152313412,0
3,196637426,39.66407776,-4.093093872,0.152313412,-85,0,-10,0.152313412,0
3,196661666,39.64485168,-4.098587036,0.152313442,-85,0,-10,0.152313442,0
3,196661665,39.64897156,-4.091720581,0.152313678,-85,0,-10,0.152313678,0
3,182873,39.65034485,-4.091720581,0.152313678,-85,0,-10,0.152313678,0
3,641625,39.65034485,-4.09034729,0.152313915,-85,0,-10,0.152313915,0
4,7945218,39.65171814,-4.09034729,0.152313915,-85,0,-10,0.152313915,0
2,9426,39.65309143,-4.09034729,0.152313915,-85,0,-10,0.152313915,0
3,19831963,39.65034485,-4.088973999,0.152314181,-85,0,-10,0.152314181,0
3,196657662,39.65034485,-4.087600708,0.152314418,-85,0,-10,0.152314418,0
3,196661665,39.65171814,-4.087600708,0.152314418,-85,0,-10,0.152314418,0
2,13655,39.65309143,-4.087600708,0.152314418,-85,0,-10,0.152314418,0
3,171350,39.66270447,-4.087600708,0.152314418,-85,0,-10,0.152314418,0
3,196659321,39.65995789,-4.084854126,0.15231498,-85,0,-10,0.15231498,0
3,196666572,39.65995789,-4.083480835,0.152315217,-85,0,-10,0.152315217,0
2,9214,39.66545105,-4.083480835,0.152315217,-85,0,-10,0.152315217,0
2,9216,39.6572113,-4.082107544,0.152315483,-85,0,-10,0.152315483,0
3,171193,39.66957092,-4.077987671,0.152316282,-85,0,-10,0.152316282,0
