Cell-ID,Longitude,Latitude,Nearest_Distance,Area-Coverage,Range,Technology,Predict
12571,47.36912661,8.532762108,50.52526104,2508,1000,3,1
1971,47.36914532,8.078377519,47.19824942,2508,1000,3,1
5931,47.36927124,8.502841556,2.985777915,2508,1000,3,1
10970,47.36927258,8.529693302,74.58213855,2508,4210,3,0
4994,47.36928781,7.858960016,76.78654195,2508,1000,3,0
10256,47.36944341,8.549517961,1.529853222,2508,1000,3,1
11194,47.36949916,8.563276151,2.941630589,2508,1000,3,1
11452,47.36950186,8.536821431,3.157869359,2508,1000,3,1
2956,47.36958849,8.508422159,0.260540529,2508,1000,3,1
10775,47.36963715,8.506079556,0.839227342,2508,1000,3,1
6079,47.36964811,8.513626901,1.358969228,2508,1000,3,1
4366,47.36966864,8.525848388,1.453292894,2508,1000,3,1
7002,47.36972478,8.538918047,0.660932863,2508,1000,3,1
9927,47.36980823,8.532974708,1.24705874,2508,1000,3,1
10639,47.36981836,8.544189772,3.34330118,2508,1000,3,1
1528,47.36995832,8.514123061,0.086869429,2508,1000,3,1
9381,47.36996004,8.514904295,1.637077994,2508,1000,3,1
10755,47.37001533,8.5001818,1.451780959,2508,1000,3,1
8733,47.37005651,8.513237916,0.702364012,2508,1000,3,1
4991,47.37008752,8.519554353,0.669890681,2508,1000,3,1
1050,47.37008977,8.513529882,2.510301355,2508,1000,3,1
12289,47.37010235,8.536105561,1.588634785,2509,1000,3,1
4791,47.37010963,8.550392495,2.364490609,2509,1000,3,1
3682,47.37012346,8.529128125,1.546014744,2508,1000,3,1
3399,47.37016226,8.543031716,0.291488996,2508,1000,3,1
4865,47.37025924,8.540412048,0.157504869,2508,1000,3,1
5429,47.37028174,8.538995747,1.765282518,2508,1000,3,1
12361,47.37028797,8.523120181,51.31373612,2508,1000,3,1
11613,47.37030368,8.984595697,23.78073282,2508,1000,3,1
5082,47.37037804,8.770730441,25.31991778,2509,1000,3,1
1457,47.37037823,8.54302295,72.7447618,2509,1000,3,0
2683,47.37039153,9.19723231,72.09688557,2508,1000,3,0
8263,47.37040333,8.548849441,0.045700377,2509,1000,3,1
8962,47.37041737,8.5492602,6.38234536,2509,1000,3,1
3227,47.37046928,8.491862412,43.44941552,2509,1000,3,1
12009,47.37051752,8.882612391,35.94486901,2508,1000,3,1
11117,47.37054476,8.559352418,35.90087393,2509,1000,3,1
2432,47.37057644,8.882216733,43.16074523,2508,1000,3,1
1790,47.37059312,8.494062826,4.824787473,2510,1000,3,1
10183,47.37060226,8.537453181,69.41119198,2509,1000,3,1
5072,47.37060483,7.915914754,9.49427386,2509,1000,3,1
11516,47.37061658,8.00129881,60.91197392,2509,1000,3,1
10999,47.37067084,8.549093349,14.95607848,2509,1000,3,1
5810,47.37068457,8.683596593,20.17472058,2509,1000,3,1
614,47.37070003,8.865032214,59.80371405,2509,1000,3,1
5913,47.37074695,9.402859934,227.1282675,2509,1000,3,0
11292,47.37075105,7.360246351,158.1001018,2509,1000,3,0
4405,47.37075938,8.782074726,70.60745034,2509,1000,3,0
2213,47.37076833,8.147086669,16.20329901,2509,1000,3,1
7211,47.37079614,8.001366903,52.14147279,2509,1000,3,1
7799,47.37079892,8.470286434,2.149666687,2509,1000,3,1
9239,47.37084052,8.489618807,65.32896176,2509,1000,3,1
9705,47.37086279,9.077136274,33.8249528,2511,1000,3,1
3063,47.37088326,8.772941166,18.74103458,2510,1000,3,1
583,47.37089982,8.941483339,45.57324358,2510,1000,3,1
3113,47.37090035,8.531633313,1.466361584,2511,1000,3,1
5137,47.37093443,8.518446049,0.574265054,2511,1000,3,1
12821,47.370958,8.523610486,13.13782315,2511,1000,3,1
3215,47.37101102,8.641761757,10.82757339,2510,1000,3,1
5348,47.37103082,8.544387052,1.871061413,2511,1000,3,1
4738,47.37118168,8.527560854,1.575397575,2511,1000,3,1
5290,47.37118217,8.541728744,1.858228065,2510,1000,3,1
1357,47.37123725,8.558440102,18.73814161,2511,1000,3,1
